JINA_ID,Ref,Name,Simbad_Identifier,NLTE,I_mag,Teff,logg,Mg/H,C/Mg
273,AOK08,CS29526-110,2MASS_J03274362-2300299,*,12.834,6800,4.1,'-1.91,1.88
277,BAR05,HE0330-4004,2MASS_J03320737-3954501,*,15.478,5946,3.78,'-1.97,'-0.18
278,BAR05,HE0330-4144,2MASS_J03321621-4134485,*,15.383,5961,4.2,'-1.64,'-0.1
280,BAR05,HE0333-4001,2MASS_J03352577-3951468,*,15.52,5892,4.31,'-2.29,'-0.08
281,BAR05,HE0336-3829,2MASS_J03383179-3820140,*,16.123,5740,3.22,'-2.43,'-0.13
283,BAR05,HE0338-3945,2MASS_J03395500-3935429,*,14.787,6162,4.09,'-2.04,1.66
284,JON06,HE0338-3945,2MASS_J03395500-3935429,*,14.787,6160,4.13,'-2.15,1.8
285,BAR05,HE0339-4027,2MASS_J03404965-4017354,*,13.819,5896,4.11,'-1.53,'-0.14
288,BAR05,HE0340-3430,2MASS_J03420477-3420500,*,14.189,5914,3.81,'-1.78,'-0.15
289,BAR05,HE0341-4024,2MASS_J03430809-4015295,*,13.047,6108,4.2,'-1.65,0.05
291,BAR05,HE0344+0139,2MASS_J03471573+0149030,*,14.614,6291,4.18,'-1.7,0.27
292,BAR05,HE0347-1819,2MASS_J03491837-1810405,*,14.719,5198,4.23,'-2.37,'-0.41
299,ROE14b,CS29529-054,2MASS_J03592387-6210089,*,14.149,5710,3.55,'-2.21,0.05
302,AOK07a,HE0400-2030,2MASS_J04021479-2021535,*,13.164,5600,3.5,'-1.18,0.55
305,BON09,CS22177-009,2MASS_J04074064-2502439,*,,6257,4.5,'-2.9,0.3
306,ROE14b,CS22177-009,2MASS_J04074064-2502439,*,,5940,3.55,'-3.07,<0.59
317,HAN15,HE0411-3558,2MASS_J04130905-3550386,*,12.352,6300,3.7,'-2.57,<0.46
321,ROE14b,CS22186-017,2MASS_J04162226-3417576,*,,5770,3.55,'-2.3,'-0.27
322,BAR05,HE0417-0821,2MASS_J04193150-0814193,*,14.038,5811,4.83,'-2.11,'-0.01
326,PRE06,CS22182-033,2MASS_J04231047-3037041,*,,5700,3.3,'-2.39,'-0.04
327,ROE14b,CS22182-033,2MASS_J04231047-3037041,*,,5810,3.6,'-2.31,'-0.03
335,BAR05,HE0430-4404,2MASS_J04313811-4357486,*,15.166,6214,4.27,'-1.81,1.13
338,BAR05,HE0441-4343,2MASS_J04432041-4338205,*,14.835,5629,3.59,'-2.23,0.0
340,SIV06,CS31080-095,2MASS_J04442200-4513542,*,12.372,6050,4.5,'-2.22,2.04
344,BAR05,HE0447-4858,2MASS_J04490101-4853361,*,15.624,5995,3.86,'-1.46,'-0.23
350,BAR05,HE0501-5139,2MASS_J05024821-5135362,*,15.475,5861,3.54,'-2.21,0.19
354,BAR05,HE0513-4557,2MASS_J05151221-4554104,*,15.045,5629,3.62,'-2.47,0.03
358,BAR05,HE0519-5525,2MASS_J05195914-5522418,*,14.284,5580,3.48,'-2.13,'-0.14
